============================================================================================================================================
S3.20 Fixed-Point Conversion Verification
Format: 1 sign bit + 3 integer bits + 20 fractional bits = 24 bits
Range: -8.0 to +7.999999...
============================================================================================================================================

Index   Original       Hex       Binary (S|III|FRAC...)        Recovered      Error          
19325   0.0160889868   0x0041E7   0|000|0000010000...           0.0160894394   4.53e-07       
19326   -0.0044891401  0x801263   1|000|0000000100...           -0.0044889450  1.95e-07       
19327   0.0523345806   0x00D65D   0|000|0000110101...           0.0523347855   2.05e-07       
19328   0.1117949933   0x01C9EA   0|000|0001110010...           0.1117954254   4.32e-07       
19329   0.0681741834   0x01173E   0|000|0001000101...           0.0681743622   1.79e-07       
19330   -0.0219028722  0x8059B7   1|000|0000010110...           -0.0219030380  1.66e-07       
19331   0.0318997949   0x0082A9   0|000|0000100000...           0.0318994522   3.43e-07       
19332   -0.1313110441  0x8219DA   1|000|0010000110...           -0.1313114166  3.73e-07       
19333   0.0554907694   0x00E34A   0|000|0000111000...           0.0554904938   2.76e-07       
19334   0.0255337674   0x006896   0|000|0000011010...           0.0255336761   9.13e-08       
19335   0.0968540981   0x018CB7   0|000|0001100011...           0.0968542099   1.12e-07       
19336   -0.0785369277  0x8141B0   1|000|0001010000...           -0.0785369873  5.96e-08       
19337   -0.0049853572  0x80146C   1|000|0000000101...           -0.0049858093  4.52e-07       
19338   0.0504971668   0x00CED6   0|000|0000110011...           0.0504970551   1.12e-07       
19339   -0.0533025227  0x80DA54   1|000|0000110110...           -0.0533027649  2.42e-07       
19340   0.0259267054   0x006A32   0|000|0000011010...           0.0259265900   1.15e-07       
19341   0.0009021579   0x0003B2   0|000|0000000000...           0.0009021759   1.80e-08       
19342   0.0621484816   0x00FE8F   0|000|0000111111...           0.0621480942   3.87e-07       
19343   -0.0241931193  0x806318   1|000|0000011000...           -0.0241928101  3.09e-07       
19344   -0.1301894039  0x821541   1|000|0010000101...           -0.1301889420  4.62e-07       
19345   0.1285599321   0x020E95   0|000|0010000011...           0.1285600662   1.34e-07       
19346   -0.0196632817  0x80508A   1|000|0000010100...           -0.0196628571  4.25e-07       
19347   0.0660844669   0x010EAF   0|000|0001000011...           0.0660848618   3.95e-07       
19348   -0.0138849895  0x8038DF   1|000|0000001110...           -0.0138845444  4.45e-07       
19349   0.0519320033   0x00D4B7   0|000|0000110101...           0.0519323349   3.32e-07       
19350   0.0834536850   0x0155D4   0|000|0001010101...           0.0834541321   4.47e-07       
19351   -0.0726039261  0x812963   1|000|0001001010...           -0.0726041794  2.53e-07       
19352   -0.1147928536  0x81D631   1|000|0001110101...           -0.1147928238  2.98e-08       
19353   -0.0724828169  0x8128E4   1|000|0001001010...           -0.0724830627  2.46e-07       
19354   0.1134002209   0x01D07D   0|000|0001110100...           0.1134004593   2.38e-07       
19355   0.0497750975   0x00CBE1   0|000|0000110010...           0.0497751236   2.61e-08       
19356   -0.0849845931  0x815C19   1|000|0001010111...           -0.0849847794  1.86e-07       
19357   0.0432834886   0x00B14A   0|000|0000101100...           0.0432834625   2.61e-08       
19358   -0.0435721017  0x80B279   1|000|0000101100...           -0.0435724258  3.24e-07       
19359   -0.0090155648  0x8024EE   1|000|0000001001...           -0.0090160370  4.72e-07       
19360   0.0455144495   0x00BA6D   0|000|0000101110...           0.0455141068   3.43e-07       
19361   0.0847064182   0x015AF5   0|000|0001010110...           0.0847063065   1.12e-07       
19362   0.0914477408   0x017692   0|000|0001011101...           0.0914478302   8.94e-08       
19363   0.1250429302   0x02002D   0|000|0010000000...           0.1250429153   1.49e-08       
19364   0.0502113253   0x00CDAA   0|000|0000110011...           0.0502109528   3.73e-07       
19365   -0.2121998370  0x83652C   1|000|0011011001...           -0.2122001648  3.28e-07       
19366   0.0784268156   0x01413C   0|000|0001010000...           0.0784263611   4.55e-07       
19367   -0.2312791944  0x83B352   1|000|0011101100...           -0.2312793732  1.79e-07       
19368   0.0623274259   0x00FF4B   0|000|0000111111...           0.0623273849   4.10e-08       
19369   -0.0211330764  0x805690   1|000|0000010101...           -0.0211334229  3.46e-07       
19370   0.0593006685   0x00F2E5   0|000|0000111100...           0.0593004227   2.46e-07       
19371   0.0494485795   0x00CA8B   0|000|0000110010...           0.0494489670   3.87e-07       
19372   0.0213178489   0x005751   0|000|0000010101...           0.0213174820   3.67e-07       
19373   0.0717585087   0x0125EC   0|000|0001001001...           0.0717582703   2.38e-07       
19374   -0.1575814635  0x828574   1|000|0010100001...           -0.1575813293  1.34e-07       
19375   -0.0782063901  0x814055   1|000|0001010000...           -0.0782060623  3.28e-07       
19376   0.0375339575   0x0099BD   0|000|0000100110...           0.0375337601   1.97e-07       
19377   -0.1106021553  0x81C507   1|000|0001110001...           -0.1106023788  2.24e-07       
19378   -0.0713353008  0x812430   1|000|0001001001...           -0.0713348389  4.62e-07       
19379   0.0532836728   0x00DA40   0|000|0000110110...           0.0532836914   1.86e-08       
19380   0.0287981350   0x0075F5   0|000|0000011101...           0.0287981033   3.17e-08       
19381   -0.0164432004  0x80435A   1|000|0000010000...           -0.0164432526  5.22e-08       
19382   0.0503330864   0x00CE2A   0|000|0000110011...           0.0503330231   6.33e-08       
19383   0.0519677699   0x00D4DC   0|000|0000110101...           0.0519676208   1.49e-07       
19384   -0.0466984361  0x80BF47   1|000|0000101111...           -0.0466985703  1.34e-07       
19385   0.0141071314   0x0039C8   0|000|0000001110...           0.0141067505   3.81e-07       
19386   -0.0976677462  0x81900C   1|000|0001100100...           -0.0976676941  5.21e-08       
19387   -0.0730351433  0x812B27   1|000|0001001010...           -0.0730352402  9.69e-08       
19388   0.1045952812   0x01AC6C   0|000|0001101011...           0.1045951843   9.69e-08       
19389   -0.0217989627  0x80594A   1|000|0000010110...           -0.0217990875  1.25e-07       
19390   0.1674174368   0x02ADBE   0|000|0010101011...           0.1674175262   8.94e-08       
19391   -0.0351159461  0x808FD6   1|000|0000100011...           -0.0351161957  2.50e-07       
19392   0.0479213484   0x00C449   0|000|0000110001...           0.0479211807   1.68e-07       
19393   0.0339732766   0x008B28   0|000|0000100010...           0.0339736938   4.17e-07       
19394   -0.0745586604  0x813164   1|000|0001001100...           -0.0745582581  4.02e-07       
19395   0.0304431673   0x007CB2   0|000|0000011111...           0.0304431915   2.42e-08       
19396   -0.1505723894  0x8268BF   1|000|0010011010...           -0.1505727768  3.87e-07       
19397   -0.0457888469  0x80BB8D   1|000|0000101110...           -0.0457887650  8.19e-08       
19398   -0.0432277136  0x80B110   1|000|0000101100...           -0.0432281494  4.36e-07       
19399   -0.1831738055  0x82EE48   1|000|0010111011...           -0.1831741333  3.28e-07       
19400   -0.0761705711  0x8137FF   1|000|0001001101...           -0.0761709213  3.50e-07       
19401   0.0268281661   0x006DE3   0|000|0000011011...           0.0268278122   3.54e-07       
19402   -0.3915137649  0x8643A4   1|000|0110010000...           -0.3915138245  5.96e-08       
19403   -0.0239983201  0x80624C   1|000|0000011000...           -0.0239982605  5.96e-08       
19404   -0.1019589826  0x81A1A0   1|000|0001101000...           -0.1019592285  2.46e-07       
19405   0.1406930536   0x024047   0|000|0010010000...           0.1406927109   3.43e-07       
19406   0.1799160987   0x02E0F0   0|000|0010111000...           0.1799163818   2.83e-07       
19407   0.1946043372   0x031D19   0|000|0011000111...           0.1946039200   4.17e-07       
19408   -0.0106382668  0x802B93   1|000|0000001010...           -0.0106382370  2.98e-08       
19409   -0.0268347822  0x806DEA   1|000|0000011011...           -0.0268344879  2.94e-07       
19410   -0.0374455601  0x809961   1|000|0000100110...           -0.0374460220  4.62e-07       
19411   0.0243424606   0x0063B5   0|000|0000011000...           0.0243425369   7.63e-08       
19412   0.0206062160   0x005467   0|000|0000010101...           0.0206060410   1.75e-07       
19413   0.1881825328   0x0302CC   0|000|0011000000...           0.1881828308   2.98e-07       
19414   0.0081562782   0x002168   0|000|0000001000...           0.0081558228   4.55e-07       
19415   0.1421595216   0x024649   0|000|0010010001...           0.1421594620   5.96e-08       
19416   -0.0431446247  0x80B0B8   1|000|0000101100...           -0.0431442261  3.99e-07       
19417   -0.1576226056  0x82859F   1|000|0010100001...           -0.1576223373  2.68e-07       
19418   0.0396390557   0x00A25D   0|000|0000101000...           0.0396394730   4.17e-07       
19419   -0.0126189003  0x8033B0   1|000|0000001100...           -0.0126190186  1.18e-07       
19420   -0.3129635155  0x8501E6   1|000|0101000000...           -0.3129634857  2.98e-08       
19421   0.0448448770   0x00B7AF   0|000|0000101101...           0.0448446274   2.50e-07       
19422   -0.0978647918  0x8190DB   1|000|0001100100...           -0.0978651047  3.13e-07       
19423   0.1030372903   0x01A60A   0|000|0001101001...           0.1030368805   4.10e-07       
19424   0.0937199667   0x017FE1   0|000|0001011111...           0.0937204361   4.69e-07       
19425   -0.1344430596  0x8226AE   1|000|0010001001...           -0.1344432831  2.23e-07       
19426   0.0050958586   0x0014DF   0|000|0000000101...           0.0050954819   3.77e-07       
19427   0.1162974834   0x01DC5B   0|000|0001110111...           0.1162977219   2.38e-07       
19428   0.1908631176   0x030DC6   0|000|0011000011...           0.1908626556   4.62e-07       
19429   -0.0632848591  0x810337   1|000|0001000000...           -0.0632848740  1.49e-08       
19430   -0.0198597182  0x805158   1|000|0000010100...           -0.0198593140  4.04e-07       
19431   0.0327266902   0x00860C   0|000|0000100001...           0.0327262878   4.02e-07       
19432   -0.1243988127  0x81FD8A   1|000|0001111111...           -0.1243991852  3.72e-07       
19433   -0.0258522369  0x8069E4   1|000|0000011010...           -0.0258522034  3.35e-08       
19434   0.1538483799   0x02762A   0|000|0010011101...           0.1538486481   2.68e-07       
19435   0.0085980520   0x002338   0|000|0000001000...           0.0085983276   2.76e-07       
19436   -0.1367850453  0x823046   1|000|0010001100...           -0.1367855072  4.62e-07       
19437   -0.0062123504  0x801972   1|000|0000000110...           -0.0062122345  1.16e-07       
19438   -0.0241719894  0x806302   1|000|0000011000...           -0.0241718292  1.60e-07       
19439   0.1640167832   0x029FD0   0|000|0010100111...           0.1640167236   5.96e-08       
19440   -0.0431831144  0x80B0E1   1|000|0000101100...           -0.0431833267  2.12e-07       
19441   0.0208433326   0x005560   0|000|0000010101...           0.0208435059   1.73e-07       
19442   0.0238831006   0x0061D3   0|000|0000011000...           0.0238828659   2.35e-07       
19443   -0.0031333752  0x800CD6   1|000|0000000011...           -0.0031337738  3.99e-07       
19444   -0.0857194811  0x815F1B   1|000|0001010111...           -0.0857191086  3.73e-07       
19445   0.1739475280   0x02C87D   0|000|0010110010...           0.1739473343   1.94e-07       
19446   0.1984983087   0x032D0D   0|000|0011001011...           0.1984987259   4.17e-07       
19447   -0.0186787583  0x804C82   1|000|0000010011...           -0.0186786652  9.31e-08       
19448   -0.0272671953  0x806FB0   1|000|0000011011...           -0.0272674561  2.61e-07       
19449   0.0745008737   0x013128   0|000|0001001100...           0.0745010376   1.64e-07       
19450   0.0649043620   0x0109D9   0|000|0001000010...           0.0649042130   1.49e-07       
19451   0.0243647601   0x0063CC   0|000|0000011000...           0.0243644714   2.89e-07       
19452   -0.0766592249  0x8139FF   1|000|0001001110...           -0.0766592026  2.23e-08       
19453   0.2141510844   0x036D2A   0|000|0011011011...           0.2141513824   2.98e-07       
19454   -0.0284361299  0x807479   1|000|0000011101...           -0.0284357071  4.23e-07       
19455   0.0789506361   0x014362   0|000|0001010000...           0.0789508820   2.46e-07       
19456   -0.1531568617  0x827355   1|000|0010011100...           -0.1531572342  3.72e-07       
19457   -0.0468272455  0x80BFCE   1|000|0000101111...           -0.0468273163  7.08e-08       
19458   -0.1931683123  0x831738   1|000|0011000101...           -0.1931686401  3.28e-07       
19459   -0.0529592372  0x80D8EC   1|000|0000110110...           -0.0529594421  2.05e-07       
19460   -0.0118887620  0x8030B2   1|000|0000001100...           -0.0118885040  2.58e-07       
19461   0.0966573879   0x018BE9   0|000|0001100010...           0.0966577530   3.65e-07       
19462   0.0445077047   0x00B64E   0|000|0000101101...           0.0445079803   2.76e-07       
19463   0.0286527909   0x00755D   0|000|0000011101...           0.0286531448   3.54e-07       
19464   0.2795542181   0x04790E   0|000|0100011110...           0.2795543671   1.49e-07       
19465   -0.1571975201  0x8283E2   1|000|0010100000...           -0.1571979523  4.32e-07       
19466   -0.1020528972  0x81A202   1|000|0001101000...           -0.1020526886  2.09e-07       
19467   0.3548160493   0x05AD54   0|000|0101101011...           0.3548164368   3.87e-07       
19468   0.0954996943   0x01872B   0|000|0001100001...           0.0954999924   2.98e-07       
19469   -0.0604144409  0x80F775   1|000|0000111101...           -0.0604143143  1.27e-07       
19470   0.0222832002   0x005B46   0|000|0000010110...           0.0222835541   3.54e-07       
19471   0.0530121773   0x00D923   0|000|0000110110...           0.0530118942   2.83e-07       
19472   -0.0201407466  0x80527F   1|000|0000010100...           -0.0201406479  9.87e-08       
